Wed Jun 09 19:25:10 2010

Number of Points = 6000
Depth (nm)	Load (µN)	Time (s)
2310.108862	69.585263	10.866667
2313.668524	69.768078	10.883333
2317.551598	70.161073	10.900000
2321.273097	70.317802	10.916667
2325.156434	70.447505	10.933333
2328.716093	70.633470	10.950000
2332.599163	71.030585	10.966667
2336.320659	71.190482	10.983333
2340.042154	71.351115	11.000000
2343.925487	71.484740	11.016667
2347.485142	71.674592	11.033333
2351.368474	71.809698	11.050000
2355.251538	72.212863	11.066667
2358.811190	72.405138	11.083333
2362.694252	72.810508	11.100000
2366.254171	72.736435	11.116667
2370.137499	72.875471	11.133333
2373.697148	73.070684	11.150000
2377.742045	73.452187	11.166667
2381.301693	73.649092	11.183333
2385.023448	73.549893	11.200000
2388.744664	73.989697	11.216667
2392.304309	74.188806	11.233333
2396.349471	74.305567	11.250000
2400.070954	74.478462	11.266667
2403.630597	74.679783	11.283333
2407.675486	75.069304	11.300000
2411.235128	75.272320	11.316667
2415.280285	75.393046	11.333333
2419.001764	75.569870	11.350000
2422.561132	76.046560	11.366667
2426.282881	75.953403	11.383333
2429.842247	76.432003	11.400000
2433.887401	76.556693	11.416667
2437.609148	76.465105	11.433333
2441.006673	76.974232	11.450000
2445.051551	77.374013	11.466667
2449.096974	77.228864	11.483333
2452.494495	77.741148	11.500000
2456.378079	77.624693	11.516667
2459.937437	78.111255	11.533333
2463.982858	77.968226	11.550000
2467.542215	78.456713	11.566667
2471.425796	78.342367	11.583333
2475.146714	79.079831	11.600000
2478.868456	78.994310	11.616667
2482.589647	79.459316	11.633333
2486.311662	79.099575	11.650000
2489.870737	79.869378	11.666667
2493.915878	80.006531	11.683333
2497.637341	80.199629	11.700000
2501.359079	80.117256	11.716667
2504.756587	80.643228	11.733333
2508.801448	81.060113	11.750000
2512.684746	81.228837	11.766667
2516.406482	81.148722	11.783333
2519.966102	81.373867	11.800000
2524.011237	81.517052	11.816667
2527.570577	82.021512	11.833333
2531.615710	82.166432	11.850000
2535.013766	82.144062	11.866667
2538.573104	82.651410	11.883333
2542.456396	82.826137	11.900000
2546.663365	82.946532	11.916667
2550.061139	83.205394	11.933333
2553.782870	83.130544	11.950000
2557.504321	83.335595	11.966667
2561.387330	83.793682	11.983333
2565.108779	84.000455	12.000000
2568.829947	84.488301	12.016667
2572.551675	84.416247	12.033333
2576.111283	84.652780	12.050000
2580.156407	84.807526	12.066667
2584.039691	84.990542	12.083333
2587.599296	85.229320	12.100000
2591.320459	85.722996	12.116667
2595.042183	85.654114	12.133333
2598.925464	85.840146	12.150000
2602.322946	86.391715	12.166667
